,Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,After Costs,PnL,Remarks,Qty,Leverage,ROI%,Trade Year,Trade Month,DD%
0,2017-01-09 10:15:00,LONG,2017-01-09 11:15:00,8246.55,8227.75,8410.596249999999,2017-01-20 10:15:00,8407.6,161.0500000000011,157.7191700000011,240521.73425000167,TSL Hit,1525,5x,9.620869370000067,2017,1,0.0
1,2017-01-24 12:15:00,LONG,2017-01-24 13:15:00,8445.3,8429.25,8429.25,2017-01-24 13:15:00,8429.25,-16.049999999999272,-19.424909999999272,-28651.742249998926,Initial SL hit,1475,5x,-1.1460696899999572,2017,1,-1.1460696899999565
2,2017-01-24 14:15:00,LONG,2017-01-24 15:15:00,8476.1,8454.5,8563.572499999998,2017-02-01 11:15:00,8547.1,71.0,67.59536,99703.156,TSL Hit,1475,5x,3.9881262399999997,2017,1,0.0
3,2017-02-01 12:15:00,LONG,2017-02-01 13:15:00,8658.8,8540.7,8755.213749999999,2017-02-09 10:15:00,8742.1,83.30000000000109,79.81982000000109,115738.73900000157,TSL Hit,1450,5x,4.629549560000063,2017,2,0.0
4,2017-02-09 11:15:00,LONG,2017-02-09 12:15:00,8755.55,8724.1,8780.695,2017-02-13 11:15:00,8770.25,14.700000000000728,11.194840000000728,15952.647000001036,TSL Hit,1425,5x,0.6381058800000414,2017,2,0.0
5,2017-02-13 13:15:00,LONG,2017-02-13 14:15:00,8803.8,8763.65,8782.68625,2017-02-15 10:15:00,8764.05,-39.75,-43.26357,-61650.587250000004,TSL Hit,1425,5x,-2.46602349,2017,2,-2.4660234899999995
6,2017-02-17 10:15:00,LONG,2017-02-17 11:15:00,8836.8,8814.35,8814.35,2017-02-17 13:15:00,8814.35,-22.44999999999891,-25.980229999998908,-37021.82774999845,Initial SL hit,1425,5x,-1.480873109999938,2017,2,-3.9468965999999384
7,2017-02-20 10:15:00,LONG,2017-02-20 11:15:00,8840.7,8827.0,8897.61875,2017-02-27 15:15:00,8896.45,55.75,52.20257,74388.66225000001,TSL Hit,1425,5x,2.9755464900000006,2017,2,-0.9713501099999391
8,2017-02-28 11:15:00,LONG,2017-02-28 12:15:00,8894.5,8879.2,8879.2,2017-02-28 13:15:00,8879.2,-15.299999999999272,-18.85473999999927,-26396.63599999898,Initial SL Hit,1400,5x,-1.0558654399999592,2017,2,-2.027215549999898
9,2017-03-01 11:15:00,LONG,2017-03-01 12:15:00,8936.75,8927.35,8927.35,2017-03-01 12:15:00,8927.35,-9.399999999999636,-12.972819999999636,-18161.94799999949,Initial SL hit,1400,5x,-0.7264779199999796,2017,3,-2.7536934699998774
10,2017-03-01 13:15:00,LONG,2017-03-01 14:15:00,8942.45,8927.7,8930.06875,2017-03-02 14:15:00,8927.7,-14.75,-18.32403,-25653.642,Initial SL hit,1400,5x,-1.0261456800000002,2017,3,-3.7798391499998782
11,2017-03-06 09:15:00,LONG,2017-03-06 10:15:00,8960.25,8914.0,8927.73125,2017-03-08 10:15:00,8914.0,-46.25,-49.82485,-69754.79,Initial SL hit,1400,5x,-2.7901916,2017,3,-6.570030749999878
12,2017-03-09 12:15:00,LONG,2017-03-09 13:15:00,8915.2,8905.6,8905.6,2017-03-09 13:15:00,8905.6,-9.600000000000364,-13.164160000000365,-18429.82400000051,Initial SL Hit,1400,5x,-0.7371929600000204,2017,3,-7.307223709999899
13,2017-03-10 11:15:00,LONG,2017-03-10 12:15:00,8941.8,8927.85,8927.85,2017-03-10 13:15:00,8927.85,-13.949999999998909,-17.52392999999891,-24533.501999998472,Initial SL hit,1400,5x,-0.981340079999939,2017,3,-8.288563789999838
14,2017-03-14 12:15:00,LONG,2017-03-14 13:15:00,9082.9,9072.2,9072.2,2017-03-14 14:15:00,9072.2,-10.699999999998909,-14.331019999998908,-19705.152499998498,Initial SL hit,1375,5x,-0.7882060999999398,2017,3,-9.076769889999778
15,2017-03-14 15:15:00,LONG,2017-03-15 09:15:00,9091.9,9073.2,9111.17375,2017-03-21 11:15:00,9104.3,12.399999999999636,8.760759999999637,12046.044999999502,TSL Hit,1375,5x,0.4818417999999801,2017,3,-8.594928089999797
16,2017-03-21 12:15:00,LONG,2017-03-21 13:15:00,9105.95,9087.8,9087.8,2017-03-21 13:15:00,9087.8,-18.150000000001455,-21.788750000001457,-29959.531250002005,Initial SL Hit,1375,5x,-1.1983812500000801,2017,3,-9.793309339999878
17,2017-03-21 14:15:00,LONG,2017-03-21 15:15:00,9125.65,9097.05,9097.05,2017-03-22 09:15:00,9047.6,-78.04999999999927,-81.68464999999927,-112316.39374999898,Gap Open Outside ISL,1375,5x,-4.49265574999996,2017,3,-14.285965089999838
18,2017-03-28 09:15:00,LONG,2017-03-28 10:15:00,9096.9,9080.8,9080.8,2017-03-28 14:15:00,9080.8,-16.100000000000364,-19.735540000000363,-27136.3675000005,Initial SL hit,1375,5x,-1.08545470000002,2017,3,-15.371419789999859
19,2017-03-29 10:15:00,LONG,2017-03-29 11:15:00,9126.1,9117.95,9117.95,2017-03-29 14:15:00,9117.95,-8.149999999999636,-11.798809999999637,-16223.363749999502,Initial SL hit,1375,5x,-0.6489345499999801,2017,3,-16.020354339999837
20,2017-03-29 15:15:00,LONG,2017-03-30 09:15:00,9153.15,9143.1,9143.1,2017-03-30 09:15:00,9143.1,-10.049999999999272,-13.709249999999273,-18850.218749999,Initial SL hit,1375,5x,-0.75400874999996,2017,3,-16.7743630899998
21,2017-03-30 12:15:00,LONG,2017-03-30 13:15:00,9157.85,9148.55,9148.55,2017-03-30 13:15:00,9148.55,-9.300000000001091,-12.961280000001093,-17821.7600000015,Initial SL hit,1375,5x,-0.7128704000000601,2017,3,-17.48723348999986
22,2017-03-30 14:15:00,LONG,2017-03-30 15:15:00,9181.6,9145.95,9213.715,2017-04-07 14:15:00,9193.75,12.149999999999636,8.474929999999636,11441.15549999951,TSL Hit,1350,5x,0.4576462199999804,2017,3,-17.02958726999988
23,2017-04-24 10:15:00,LONG,2017-04-24 11:15:00,9166.95,9153.8,9312.797499999999,2017-05-03 11:15:00,9309.1,142.14999999999964,138.45478999999963,190375.3362499995,TSL Hit,1375,5x,7.61501344999998,2017,4,-9.414573819999898
24,2017-05-03 12:15:00,LONG,2017-05-03 13:15:00,9316.4,9298.4,9325.87375,2017-05-05 09:15:00,9324.2,7.800000000001091,4.071880000001091,5497.038000001473,TSL Hit,1350,5x,0.21988152000005892,2017,5,-9.19469229999984
25,2017-05-08 09:15:00,LONG,2017-05-08 10:15:00,9324.2,9297.95,9318.33375,2017-05-09 14:15:00,9317.9,-6.300000000001091,-10.028420000001091,-13538.367000001474,TSL Hit,1350,5x,-0.541534680000059,2017,5,-9.736226979999898
26,2017-05-10 11:15:00,LONG,2017-05-10 12:15:00,9390.65,9373.0,9373.0,2017-05-10 12:15:00,9373.0,-17.649999999999636,-21.402729999999636,-28358.61724999952,Initial SL hit,1325,5x,-1.1343446899999807,2017,5,-10.87057166999988
27,2017-05-10 13:15:00,LONG,2017-05-10 14:15:00,9392.9,9375.6,9375.6,2017-05-12 14:15:00,9375.6,-17.299999999999272,-21.053699999999274,-27896.15249999904,Initial SL hit,1325,5x,-1.1158460999999615,2017,5,-11.986417769999841
28,2017-05-15 10:15:00,LONG,2017-05-15 11:15:00,9445.35,9436.85,9436.85,2017-05-15 11:15:00,9436.85,-8.5,-12.276440000000001,-16266.283000000001,Initial SL hit,1325,5x,-0.65065132,2017,5,-12.63706908999984
29,2017-05-15 13:15:00,LONG,2017-05-15 14:15:00,9443.45,9429.15,9456.52125,2017-05-18 13:15:00,9452.95,9.5,5.72072,7579.954,TSL Hit,1325,5x,0.30319816,2017,5,-12.33387092999984
30,2017-05-22 10:15:00,LONG,2017-05-22 11:15:00,9463.8,9445.0,9445.0,2017-05-22 12:15:00,9445.0,-18.799999999999272,-22.58175999999927,-29920.831999999034,Initial SL Hit,1325,5x,-1.1968332799999613,2017,5,-13.530704209999803
31,2017-05-25 12:15:00,LONG,2017-05-25 13:15:00,9429.55,9407.1,9640.0825,2017-06-06 14:15:00,9634.4,204.85000000000036,201.03721000000036,266374.30325000046,TSL Hit,1325,5x,10.654972130000019,2017,5,-2.875732079999784
32,2017-06-07 13:15:00,LONG,2017-06-07 14:15:00,9646.4,9634.6,9634.6,2017-06-07 14:15:00,9634.6,-11.799999999999272,-15.656199999999274,-20353.059999999055,Initial SL Hit,1300,5x,-0.8141223999999623,2017,6,-3.6898544799997453
33,2017-06-08 10:15:00,LONG,2017-06-08 11:15:00,9659.8,9647.0,9652.0625,2017-06-08 14:15:00,9647.0,-12.799999999999272,-16.661359999999274,-21659.767999999054,Initial SL hit,1300,5x,-0.8663907199999621,2017,6,-4.556245199999708
34,2017-06-13 12:15:00,LONG,2017-06-13 13:15:00,9647.9,9631.55,9631.55,2017-06-13 13:15:00,9631.55,-16.350000000000364,-20.205890000000363,-26267.657000000472,Initial SL Hit,1300,5x,-1.0507062800000189,2017,6,-5.6069514799997275
35,2017-06-19 11:15:00,LONG,2017-06-19 12:15:00,9629.8,9621.4,9621.4,2017-06-21 09:15:00,9621.4,-8.399999999999636,-12.250239999999636,-15925.311999999527,Initial SL hit,1300,5x,-0.6370124799999811,2017,6,-6.243963959999709
36,2017-06-21 11:15:00,LONG,2017-06-21 12:15:00,9625.1,9611.9,9611.9,2017-06-21 13:15:00,9611.9,-13.200000000000728,-17.047400000000728,-22161.620000000945,Initial SL Hit,1300,5x,-0.8864648000000377,2017,6,-7.130428759999747
37,2017-06-22 10:15:00,LONG,2017-06-22 11:15:00,9689.45,9665.55,9665.55,2017-06-22 14:15:00,9665.55,-23.900000000001455,-27.771000000001454,-36102.30000000189,Initial SL hit,1300,5x,-1.4440920000000756,2017,6,-8.574520759999823
38,2017-06-23 12:15:00,LONG,2017-06-23 13:15:00,9597.6,9572.75,9572.75,2017-06-23 14:15:00,9572.75,-24.850000000000364,-28.684070000000364,-37289.29100000047,Initial SL Hit,1300,5x,-1.4915716400000187,2017,6,-10.066092399999842
39,2017-07-03 10:15:00,LONG,2017-07-03 11:15:00,9612.05,9568.5,9854.79,2017-07-18 12:15:00,9842.95,230.90000000000146,227.00900000000146,295111.7000000019,TSL Hit,1300,5x,11.804468000000075,2017,7,0.0
40,2017-07-19 10:15:00,LONG,2017-07-19 11:15:00,9877.3,9863.5,9866.83125,2017-07-19 13:15:00,9863.5,-13.799999999999272,-17.748159999999274,-22628.903999999075,Initial SL hit,1275,5x,-0.9051561599999629,2017,7,-0.9051561599999616
41,2017-07-19 14:15:00,LONG,2017-07-19 15:15:00,9904.45,9874.55,9880.75,2017-07-20 12:15:00,9874.55,-29.900000000001455,-33.85580000000145,-42319.75000000181,Initial SL hit,1250,5x,-1.6927900000000724,2017,7,-2.597946160000035
42,2017-07-21 14:15:00,LONG,2017-07-21 15:15:00,9919.25,9865.95,9976.5875,2017-07-28 12:15:00,9975.95,56.70000000000073,52.72096000000073,65901.20000000091,TSL Hit,1250,5x,2.6360480000000366,2017,7,0.0
43,2017-07-28 13:15:00,LONG,2017-07-28 14:15:00,9982.25,9944.5,10054.491250000001,2017-08-03 09:15:00,10032.75,50.5,46.497,58121.25,TSL Hit,1250,5x,2.3248499999999996,2017,7,0.0
44,2017-08-03 11:15:00,LONG,2017-08-03 12:15:00,10049.6,10033.05,10033.05,2017-08-03 13:15:00,10033.05,-16.55000000000109,-20.56653000000109,-25708.162500001363,Initial SL Hit,1250,5x,-1.0283265000000545,2017,8,-1.0283265000000554
45,2017-08-03 15:15:00,LONG,2017-08-04 09:15:00,10021.85,10002.65,10002.65,2017-08-04 09:15:00,10002.65,-19.200000000000728,-23.204900000000727,-29006.12500000091,Initial SL Hit,1250,5x,-1.1602450000000364,2017,8,-2.1885715000000907
46,2017-08-04 12:15:00,LONG,2017-08-04 13:15:00,10016.0,9998.1,10062.682499999999,2017-08-07 14:15:00,10055.15,39.149999999999636,35.13576999999964,43919.71249999955,TSL Hit,1250,5x,1.756788499999982,2017,8,-0.4317830000001095
47,2017-08-17 12:15:00,LONG,2017-08-17 13:15:00,9938.75,9902.4,9902.4,2017-08-17 14:15:00,9902.4,-36.350000000000364,-40.31823000000036,-50397.78750000045,Initial SL hit,1250,5x,-2.015911500000018,2017,8,-2.4476945000001287
48,2017-08-18 13:15:00,LONG,2017-08-18 14:15:00,9823.15,9783.65,9824.369999999999,2017-08-21 12:15:00,9808.3,-14.850000000000364,-18.776290000000362,-23939.76975000046,TSL Hit,1275,5x,-0.9575907900000186,2017,8,-3.4052852900001476
49,2017-08-24 13:15:00,LONG,2017-08-24 14:15:00,9869.85,9851.25,9851.25,2017-08-24 15:15:00,9851.25,-18.600000000000364,-22.544220000000365,-28743.880500000465,Initial SL hit,1275,5x,-1.1497552200000185,2017,8,-4.555040510000165
50,2017-08-28 09:15:00,LONG,2017-08-28 10:15:00,9913.55,9882.0,9882.0,2017-08-29 09:15:00,9882.0,-31.549999999999272,-35.509109999999275,-44386.387499999095,Initial SL hit,1250,5x,-1.7754554999999637,2017,8,-6.330496010000129
51,2017-08-29 10:15:00,LONG,2017-08-29 11:15:00,9844.4,9821.8,9821.8,2017-08-29 12:15:00,9821.8,-22.600000000000364,-26.53324000000036,-33829.88100000046,Initial SL Hit,1275,5x,-1.3531952400000185,2017,8,-7.683691250000148
52,2017-08-30 10:15:00,LONG,2017-08-30 11:15:00,9882.2,9868.7,9868.7,2017-08-31 09:15:00,9868.7,-13.5,-17.45018,-22248.9795,Initial SL hit,1275,5x,-0.8899591800000001,2017,8,-8.573650430000148
53,2017-08-31 10:15:00,LONG,2017-08-31 11:15:00,9876.3,9862.45,9862.45,2017-08-31 11:15:00,9862.45,-13.849999999998545,-17.797749999998544,-22692.131249998143,Initial SL hit,1275,5x,-0.9076852499999257,2017,8,-9.481335680000074
54,2017-08-31 13:15:00,LONG,2017-08-31 14:15:00,9887.2,9871.1,9894.65875,2017-09-04 11:15:00,9881.15,-6.050000000001091,-10.00367000000109,-12754.67925000139,TSL Hit,1275,5x,-0.5101871700000556,2017,8,-9.991522850000129
55,2017-09-04 13:15:00,LONG,2017-09-04 14:15:00,9906.2,9875.6,9906.54625,2017-09-06 09:15:00,9900.05,-6.150000000001455,-10.111250000001455,-12639.062500001819,TSL Hit,1250,5x,-0.5055625000000727,2017,9,-10.497085350000201
56,2017-09-06 10:15:00,LONG,2017-09-06 11:15:00,9908.75,9892.2,9927.74,2017-09-07 15:15:00,9924.0,15.25,11.28345,14104.3125,TSL Hit,1250,5x,0.5641725,2017,9,-9.932912850000202
57,2017-09-11 10:15:00,LONG,2017-09-11 11:15:00,9988.55,9972.0,10118.62125,2017-09-21 09:15:00,10089.7,101.15000000000146,97.13435000000146,121417.93750000183,TSL Hit,1250,5x,4.856717500000073,2017,9,-5.076195350000127
58,2017-09-21 10:15:00,LONG,2017-09-21 11:15:00,10097.75,10058.6,10058.6,2017-09-22 09:15:00,10058.6,-39.149999999999636,-43.181269999999635,-53976.58749999954,Initial SL Hit,1250,5x,-2.1590634999999816,2017,9,-7.235258850000108
59,2017-10-03 10:15:00,LONG,2017-10-03 11:15:00,9867.1,9833.2,9972.28125,2017-10-11 15:15:00,9970.1,103.0,99.03256,126266.51400000001,TSL Hit,1275,5x,5.050660560000001,2017,10,-2.184598290000107
60,2017-10-12 09:15:00,LONG,2017-10-12 10:15:00,10025.4,9977.1,10161.8125,2017-10-23 11:15:00,10129.9,104.5,100.46894,125586.175,TSL Hit,1250,5x,5.023447,2017,10,0.0
