,Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,After Costs,PnL,Remarks,Qty,Leverage,ROI%,Trade Year,Trade Month,DD%,Final ROI,TAG,Points w CS,PnL w CS,ROI% w CS
638,2017-01-02 12:15:00+05:30,LONG,2017-01-02 13:15:00,17951.15,17816.516375000003,,2017-01-17 11:15:00+05:30,19064.4,1113.25,,186046.57640318308,Reversed,167.12021235408315,3,18.604657640318308,2017,,0.0,6.489979011093995,Reversal,1109.548445,185427.97174554275,18.542797174554273
0,2017-01-11 10:15:00,LONG,2017-01-11 11:15:00,18670.85,18612.35,19125.236111111117,2017-01-19 09:15:00,19071.85,401.0,397.22573,214501.8942,TSL Hit,540.0,5x,8.580075768,2017,1.0,0.0,5.577049249200001,MTrend,,,
639,2017-01-17 10:15:00+05:30,SHORT,2017-01-17 11:15:00,19064.4,19207.383,,2017-01-18 09:15:00+05:30,19207.383,-142.98300000000017,,-22500.000000000025,Initial SL Hit,157.36136463775412,3,-2.250000000000002,2017,,-0.8085787500000006,-0.8085787500000007,Reversal,-146.8101783000002,-23102.250000000025,-2.310225000000002
640,2017-01-19 10:15:00+05:30,LONG,2017-01-19 11:15:00,19108.4,18965.087000000003,,2017-01-20 09:15:00+05:30,18965.087000000003,-143.31299999999828,,-22499.999999999727,Initial SL Hit,156.99901613949885,3,-2.2499999999999725,2017,,-1.6169999999999902,-0.8084212499999905,Reversal,-147.1203486999983,-23097.74999999973,-2.309774999999973
1,2017-01-19 10:15:00,LONG,2017-01-19 11:15:00,19108.4,19063.75,19063.75,2017-01-20 09:15:00,18996.65,-111.75,-115.560505,-60669.265125000005,Gap Open Outside ISL,525.0,5x,-2.426770605,2017,1.0,-3.194400893249991,-1.57740089325,MTrend,,,
2,2017-01-20 10:15:00,LONG,2017-01-20 11:15:00,19010.5,18959.0,18959.0,2017-01-20 12:15:00,18959.0,-51.5,-55.29695,-29030.89875,Initial SL Hit,525.0,5x,-1.16123595,2017,1.0,-3.9492042607499904,-0.7548033675,MTrend,,,
641,2017-01-20 10:15:00+05:30,LONG,2017-01-20 11:15:00,19010.5,18867.92125,,2017-01-20 13:15:00+05:30,18867.92125,-142.57875000000058,,-22500.00000000009,Initial SL Hit,157.8075274190579,3,-2.2500000000000093,2017,,-4.757625510749993,-0.8084212500000033,Reversal,-146.36659212500058,-23097.75000000009,-2.3097750000000095
642,2017-01-23 14:15:00+05:30,LONG,2017-01-23 15:15:00,18836.15,18694.878875000002,,2017-01-27 15:15:00+05:30,19691.55,855.3999999999978,,136238.03165721198,Reversed,159.26821563854608,3,13.623803165721199,2017,,-0.010771235858374695,4.74685427489162,Reversal,851.5472299999979,135624.40785404627,13.562440785404627
3,2017-01-24 11:15:00,LONG,2017-01-24 12:15:00,18977.75,18944.8,18944.8,2017-01-24 12:15:00,18944.8,-32.95000000000073,-36.742255000000725,-19289.68387500038,Initial SL hit,525.0,5x,-0.7715873550000152,2017,1.0,-0.5123030166083851,-0.5015317807500099,MTrend,,,
4,2017-01-24 13:15:00,LONG,2017-01-24 14:15:00,19013.15,18935.05,19601.18888888889,2017-01-30 15:15:00,19590.3,577.1499999999978,573.2896549999978,300977.06887499883,TSL Hit,525.0,5x,12.039082754999956,2017,1.0,0.0,7.825403790749972,MTrend,,,
