Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,After Costs,PnL,Remarks,Qty,Leverage,ROI%,Trade Year,Trade Month,DD%
2017-01-11 10:15:00,LONG,2017-01-11 11:15:00,18670.85,18612.35,19125.236111111113,2017-01-19 09:15:00,19071.85,401.0,397.22573,810340.4892,TSL Hit,2040,5.066,10.804539856,2017,1,0.0
2017-01-19 10:15:00,LONG,2017-01-19 11:15:00,19108.4,19063.75,19063.75,2017-01-20 09:15:00,18996.65,-111.75,-115.560505,-230543.207475,Gap Open Outside ISL,1995,5.066,-3.0739094330000003,2017,1,-3.0739094330000007
2017-01-20 10:15:00,LONG,2017-01-20 11:15:00,19010.5,18959.0,18959.0,2017-01-20 12:15:00,18959.0,-51.5,-55.29695,-110317.41525,Initial SL Hit,1995,5.066,-1.47089887,2017,1,-4.544808303000001
2017-01-24 11:15:00,LONG,2017-01-24 12:15:00,18977.75,18944.8,18944.8,2017-01-24 12:15:00,18944.8,-32.95000000000073,-36.742255000000725,-73300.79872500144,Initial SL hit,1995,5.066,-0.9773439830000192,2017,1,-5.52215228600002
2017-01-24 13:15:00,LONG,2017-01-24 14:15:00,19013.15,18935.05,19601.188888888886,2017-01-30 15:15:00,19590.3,577.1499999999978,573.2896549999978,1143712.8617249955,TSL Hit,1995,5.066,15.24950482299994,2017,1,0.0
2017-01-31 11:15:00,LONG,2017-01-31 12:15:00,19492.3,19442.9,19442.9,2017-01-31 12:15:00,19442.9,-49.39999999999782,-53.29351999999782,-103922.36399999575,Initial SL Hit,1950,5.066,-1.3856315199999434,2017,1,-1.3856315199999436
2017-01-31 15:15:00,LONG,2017-02-01 09:15:00,19543.45,19488.85,19488.85,2017-02-01 11:15:00,19488.85,-54.60000000000218,-58.50323000000218,-114081.29850000425,Initial SL Hit,1950,5.066,-1.5210839800000568,2017,2,-2.9067155000000007
2017-02-01 12:15:00,LONG,2017-02-01 13:15:00,19941.7,19470.95,20334.152777777777,2017-02-07 15:15:00,20308.3,366.59999999999854,362.57499999999857,690705.3749999973,TSL Hit,1905,5.066,9.209404999999965,2017,2,0.0
2017-02-08 12:15:00,LONG,2017-02-08 13:15:00,20297.3,20268.35,20268.35,2017-02-08 13:15:00,20268.35,-28.950000000000728,-33.00656500000073,-61887.309375001365,Initial SL Hit,1875,5.066,-0.8251641250000182,2017,2,-0.8251641250000183
2017-02-08 14:15:00,LONG,2017-02-08 15:15:00,20300.1,20070.15,20070.15,2017-02-09 10:15:00,20070.15,-229.9499999999971,-233.9870249999971,-438725.6718749945,Initial SL Hit,1875,5.066,-5.849675624999927,2017,2,-6.674839749999947
2017-02-09 11:15:00,LONG,2017-02-09 12:15:00,20108.3,20000.35,20221.766666666666,2017-02-10 14:15:00,20196.75,88.45000000000073,84.41949500000072,159552.84555000137,TSL Hit,1890,5.066,2.1273712740000184,2017,2,-4.547468475999928
2017-02-13 12:15:00,LONG,2017-02-13 13:15:00,20194.2,20116.9,20235.38888888889,2017-02-14 11:15:00,20196.3,2.099999999998545,-1.9390500000014557,-3635.7187500027294,TSL Hit,1875,5.066,-0.04847625000003639,2017,2,-4.5959447259999635
2017-02-14 12:15:00,LONG,2017-02-14 13:15:00,20228.75,20158.85,20233.041666666668,2017-02-15 11:15:00,20158.85,-69.90000000000146,-73.93876000000145,-138635.17500000272,Initial SL hit,1875,5.066,-1.8484690000000363,2017,2,-6.4444137260000005
