Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,After Costs,PnL,Remarks,Qty,Leverage,ROI%,Trade Year,Trade Month,Index,Allocation,Portfolio,ROI% PF
2017-01-09 10:15:00,LONG,2017-01-09 11:15:00,8246.55,8227.75,8410.596249999999,2017-01-20 10:15:00,8407.6,161.0500000000011,157.7191700000011,118289.37750000085,TSL Hit,750,1,1.8926300400000131,2017,1,NIFTY,6250000,18750000.0,0.6308766800000045
2017-01-11 10:15:00,LONG,2017-01-11 11:15:00,18670.85,18612.35,19125.236111111117,2017-01-19 09:15:00,19071.85,401.0,397.22573,131084.4909,TSL Hit,330,1,2.0973518544000003,2017,1,BANKNIFTY,6250000,18750000.0,0.6991172848
2017-01-16 11:15:00,LONG,2017-01-16 12:15:00,27284.29,27245.95,27245.95,2017-01-17 10:15:00,27245.95,-38.34000000000015,-43.79302400000015,-10072.395520000033,Initial SL hit,230,1,-0.1611583283200005,2017,1,SENSEX,6250000,18750000.0,-0.05371944277333351
2017-01-17 13:15:00,LONG,2017-01-17 14:15:00,27239.94,27197.43,27197.43,2017-01-17 14:15:00,27197.43,-42.5099999999984,-47.9537369999984,-11029.359509999633,Initial SL hit,230,1,-0.176469752159994,2017,1,SENSEX,6250000,18750000.0,-0.05882325071999804
2017-01-18 15:15:00,LONG,2017-01-19 09:15:00,27281.86,27223.92,27223.92,2017-01-19 09:15:00,27223.92,-57.94000000000233,-63.39057800000233,-14579.832940000537,Initial SL hit,230,1,-0.2332773270400086,2017,1,SENSEX,6250000,18750000.0,-0.0777591090133362
2017-01-19 10:15:00,LONG,2017-01-19 11:15:00,19108.4,19063.75,19063.75,2017-01-20 09:15:00,18996.65,-111.75,-115.560505,-38134.96665,Gap Open Outside ISL,330,1,-0.6101594664,2017,1,BANKNIFTY,6250000,18750000.0,-0.20338648880000001
2017-01-19 10:15:00,LONG,2017-01-19 11:15:00,27301.11,27244.71,27246.72270833333,2017-01-20 09:15:00,27238.21,-62.900000000001455,-68.35393200000145,-15721.404360000332,Gap Open Outside ISL,230,1,-0.2515424697600053,2017,1,SENSEX,6250000,18750000.0,-0.08384748992000177
2017-01-20 10:15:00,LONG,2017-01-20 11:15:00,27229.13,27176.32,27176.32,2017-01-20 12:15:00,27176.32,-52.81000000000131,-58.25054500000131,-13397.6253500003,Initial SL Hit,230,1,-0.2143620056000048,2017,1,SENSEX,6250000,18750000.0,-0.07145400186666827
2017-01-20 10:15:00,LONG,2017-01-20 11:15:00,19010.5,18959.0,18959.0,2017-01-20 12:15:00,18959.0,-51.5,-55.29695,-18247.9935,Initial SL Hit,330,1,-0.291967896,2017,1,BANKNIFTY,6250000,18750000.0,-0.097322632
2017-01-20 15:15:00,LONG,2017-01-23 09:15:00,27039.24,27009.81,28322.39625,2017-02-13 11:15:00,28265.36,1226.119999999999,1220.589539999999,280735.59419999976,TSL Hit,230,1,4.491769507199996,2017,1,SENSEX,6250000,18750000.0,1.4972565023999986
2017-01-24 11:15:00,LONG,2017-01-24 12:15:00,18977.75,18944.8,18944.8,2017-01-24 12:15:00,18944.8,-32.95000000000073,-36.742255000000725,-12124.94415000024,Initial SL hit,330,1,-0.1939991064000038,2017,1,BANKNIFTY,6250000,18750000.0,-0.06466636880000128
2017-01-24 12:15:00,LONG,2017-01-24 13:15:00,8445.3,8429.25,8429.25,2017-01-24 13:15:00,8429.25,-16.049999999999272,-19.424909999999272,-14568.682499999451,Initial SL hit,750,1,-0.2330989199999912,2017,1,NIFTY,6250000,18750000.0,-0.07769963999999707
2017-01-24 13:15:00,LONG,2017-01-24 14:15:00,19013.15,18935.05,19601.18888888889,2017-01-30 15:15:00,19590.3,577.1499999999978,573.2896549999978,189185.5861499993,TSL Hit,330,1,3.0269693783999885,2017,1,BANKNIFTY,6250000,18750000.0,1.0089897927999962
2017-01-24 14:15:00,LONG,2017-01-24 15:15:00,8476.1,8454.5,8563.572499999998,2017-02-01 11:15:00,8547.1,71.0,67.59536,49006.636,TSL Hit,725,1,0.784106176,2017,1,NIFTY,6250000,18750000.0,0.26136872533333333
2017-01-31 11:15:00,LONG,2017-01-31 12:15:00,19492.3,19442.9,19442.9,2017-01-31 12:15:00,19442.9,-49.39999999999782,-53.29351999999782,-16787.458799999313,Initial SL Hit,315,1,-0.268599340799989,2017,1,BANKNIFTY,6250000,18750000.0,-0.08953311359999633
2017-01-31 15:15:00,LONG,2017-02-01 09:15:00,19543.45,19488.85,19488.85,2017-02-01 11:15:00,19488.85,-54.60000000000218,-58.50323000000218,-18428.517450000687,Initial SL Hit,315,1,-0.294856279200011,2017,2,BANKNIFTY,6250000,18750000.0,-0.09828542640000366
2017-02-01 12:15:00,LONG,2017-02-01 13:15:00,19941.7,19470.95,20334.152777777777,2017-02-07 15:15:00,20308.3,366.59999999999854,362.57499999999857,114211.12499999956,TSL Hit,315,1,1.8273779999999928,2017,2,BANKNIFTY,6250000,18750000.0,0.6091259999999977
2017-02-01 12:15:00,LONG,2017-02-01 13:15:00,8658.8,8540.7,8755.213749999999,2017-02-09 10:15:00,8742.1,83.30000000000109,79.81982000000109,57869.36950000079,TSL Hit,725,1,0.9259099120000126,2017,2,NIFTY,6250000,18750000.0,0.3086366373333375
2017-02-08 12:15:00,LONG,2017-02-08 13:15:00,20297.3,20268.35,20268.35,2017-02-08 13:15:00,20268.35,-28.950000000000728,-33.00656500000073,-10397.06797500023,Initial SL Hit,315,1,-0.1663530876000036,2017,2,BANKNIFTY,6250000,18750000.0,-0.05545102920000122
2017-02-08 14:15:00,LONG,2017-02-08 15:15:00,20300.1,20070.15,20070.15,2017-02-09 10:15:00,20070.15,-229.9499999999971,-233.9870249999971,-73705.91287499908,Initial SL Hit,315,1,-1.1792946059999854,2017,2,BANKNIFTY,6250000,18750000.0,-0.39309820199999507
2017-02-09 11:15:00,LONG,2017-02-09 12:15:00,8755.55,8724.1,8780.695,2017-02-13 11:15:00,8770.25,14.700000000000728,11.194840000000728,8116.259000000527,TSL Hit,725,1,0.1298601440000084,2017,2,NIFTY,6250000,18750000.0,0.043286714666669474
2017-02-09 11:15:00,LONG,2017-02-09 12:15:00,20108.3,20000.35,20221.766666666663,2017-02-10 14:15:00,20196.75,88.45000000000073,84.41949500000072,26592.14092500023,TSL Hit,315,1,0.4254742548000036,2017,2,BANKNIFTY,6250000,18750000.0,0.14182475160000124
2017-02-13 12:15:00,LONG,2017-02-13 13:15:00,20194.2,20116.9,20235.38888888889,2017-02-14 11:15:00,20196.3,2.099999999998545,-1.939050000001456,-610.8007500004585,TSL Hit,315,1,-0.0097728120000073,2017,2,BANKNIFTY,6250000,18750000.0,-0.0032576040000024454
2017-02-13 12:15:00,LONG,2017-02-13 13:15:00,28264.45,28197.38,28340.41625,2017-02-14 11:15:00,28316.92,52.469999999997526,46.81186299999753,10298.609859999457,TSL Hit,220,1,0.1647777577599913,2017,2,SENSEX,6250000,18750000.0,0.05492591925333044
2017-02-13 13:15:00,LONG,2017-02-13 14:15:00,8803.8,8763.65,8782.68625,2017-02-15 10:15:00,8764.05,-39.75,-43.26357,-30284.499,TSL Hit,700,1,-0.484551984,2017,2,NIFTY,6250000,18750000.0,-0.161517328
2017-02-14 12:15:00,LONG,2017-02-14 13:15:00,28352.03,28284.07,28284.07,2017-02-15 09:15:00,28284.07,-67.95999999999913,-73.62360999999913,-16197.194199999807,Initial SL Hit,220,1,-0.2591551071999969,2017,2,SENSEX,6250000,18750000.0,-0.0863850357333323
2017-02-14 12:15:00,LONG,2017-02-14 13:15:00,20228.75,20158.85,20233.041666666668,2017-02-15 11:15:00,20158.85,-69.90000000000146,-73.93876000000145,-23290.709400000454,Initial SL hit,315,1,-0.3726513504000073,2017,2,BANKNIFTY,6250000,18750000.0,-0.12421711680000243
2017-02-15 12:15:00,LONG,2017-02-15 13:15:00,28175.41,28107.51,28107.51,2017-02-15 13:15:00,28107.51,-67.90000000000146,-73.52829200000146,-16176.22424000032,Initial SL Hit,220,1,-0.2588195878400051,2017,2,SENSEX,6250000,18750000.0,-0.08627319594666838
2017-02-16 10:15:00,LONG,2017-02-16 11:15:00,28203.81,28160.76,28745.90291666667,2017-02-28 14:15:00,28727.99,524.1800000000003,518.4868200000003,114067.10040000008,TSL Hit,220,1,1.825073606400001,2017,2,SENSEX,6250000,18750000.0,0.6083578688000004
2017-02-17 10:15:00,LONG,2017-02-17 11:15:00,20707.2,20640.4,20640.4,2017-02-17 12:15:00,20640.4,-66.79999999999927,-70.93475999999927,-21280.42799999978,Initial SL hit,300,1,-0.3404868479999965,2017,2,BANKNIFTY,6250000,18750000.0,-0.11349561599999884
2017-02-17 10:15:00,LONG,2017-02-17 11:15:00,8836.8,8814.35,8814.35,2017-02-17 13:15:00,8814.35,-22.44999999999891,-25.980229999998908,-18186.16099999924,Initial SL hit,700,1,-0.2909785759999878,2017,2,NIFTY,6250000,18750000.0,-0.09699285866666262
2017-02-20 09:15:00,LONG,2017-02-20 10:15:00,20560.8,20472.4,20859.316666666666,2017-02-23 14:15:00,20844.95,284.15000000000146,280.00942500000144,84002.82750000044,TSL Hit,300,1,1.344045240000007,2017,2,BANKNIFTY,6250000,18750000.0,0.4480150800000023
2017-02-20 10:15:00,LONG,2017-02-20 11:15:00,8840.7,8827.0,8897.61875,2017-02-27 15:15:00,8896.45,55.75,52.20257,36541.799,TSL Hit,700,1,0.584668784,2017,2,NIFTY,6250000,18750000.0,0.19488959466666667
2017-02-27 10:15:00,LONG,2017-02-27 11:15:00,20730.35,20669.65,20669.65,2017-02-27 14:15:00,20669.65,-60.69999999999709,-64.83999999999709,-19451.999999999127,Initial SL Hit,300,1,-0.311231999999986,2017,2,BANKNIFTY,6250000,18750000.0,-0.10374399999999534
2017-02-27 15:15:00,LONG,2017-02-28 09:15:00,20632.25,20584.75,20584.75,2017-02-28 11:15:00,20584.75,-47.5,-51.6217,-15486.510000000002,Initial SL Hit,300,1,-0.24778416,2017,2,BANKNIFTY,6250000,18750000.0,-0.08259472000000001
2017-02-28 11:15:00,LONG,2017-02-28 12:15:00,8894.5,8879.2,8879.2,2017-02-28 13:15:00,8879.2,-15.299999999999272,-18.85473999999927,-13198.31799999949,Initial SL Hit,700,1,-0.2111730879999918,2017,2,NIFTY,6250000,18750000.0,-0.07039102933333062
2017-02-28 13:15:00,LONG,2017-02-28 14:15:00,20614.4,20560.6,20724.55277777778,2017-03-02 14:15:00,20560.6,-53.80000000000291,-57.91750000000291,-17375.250000000873,Initial SL hit,300,1,-0.2780040000000139,2017,2,BANKNIFTY,6250000,18750000.0,-0.09266800000000466
