Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,After Costs,PnL,Remarks,Qty,Leverage,ROI%,Trade Year,Trade Month
2017-01-11 10:15:00,LONG,2017-01-11 11:15:00,18670.85,18612.35,19125.236111111113,2017-01-19 09:15:00,19071.85,401.0,397.22573,131084.4909,TSL Hit,330,1,2.0973518544000003,2017,1
2017-01-19 10:15:00,LONG,2017-01-19 11:15:00,19108.4,19063.75,19063.75,2017-01-20 09:15:00,18996.65,-111.75,-115.560505,-38134.96665,Gap Open Outside ISL,330,1,-0.6101594664,2017,1
2017-01-20 10:15:00,LONG,2017-01-20 11:15:00,19010.5,18959.0,18959.0,2017-01-20 12:15:00,18959.0,-51.5,-55.29695,-18247.9935,Initial SL Hit,330,1,-0.291967896,2017,1
2017-01-24 11:15:00,LONG,2017-01-24 12:15:00,18977.75,18944.8,18944.8,2017-01-24 12:15:00,18944.8,-32.95000000000073,-36.742255000000725,-12124.94415000024,Initial SL hit,330,1,-0.19399910640000384,2017,1
2017-01-24 13:15:00,LONG,2017-01-24 14:15:00,19013.15,18935.05,19601.188888888886,2017-01-30 15:15:00,19590.3,577.1499999999978,573.2896549999978,189185.58614999926,TSL Hit,330,1,3.0269693783999885,2017,1
2017-01-31 11:15:00,LONG,2017-01-31 12:15:00,19492.3,19442.9,19442.9,2017-01-31 12:15:00,19442.9,-49.39999999999782,-53.29351999999782,-16787.458799999313,Initial SL Hit,315,1,-0.26859934079998904,2017,1
2017-01-31 15:15:00,LONG,2017-02-01 09:15:00,19543.45,19488.85,19488.85,2017-02-01 11:15:00,19488.85,-54.60000000000218,-58.50323000000218,-18428.517450000687,Initial SL Hit,315,1,-0.294856279200011,2017,2
2017-02-01 12:15:00,LONG,2017-02-01 13:15:00,19941.7,19470.95,20334.152777777777,2017-02-07 15:15:00,20308.3,366.59999999999854,362.57499999999857,114211.12499999955,TSL Hit,315,1,1.8273779999999926,2017,2
2017-02-08 12:15:00,LONG,2017-02-08 13:15:00,20297.3,20268.35,20268.35,2017-02-08 13:15:00,20268.35,-28.950000000000728,-33.00656500000073,-10397.06797500023,Initial SL Hit,315,1,-0.16635308760000367,2017,2
2017-02-08 14:15:00,LONG,2017-02-08 15:15:00,20300.1,20070.15,20070.15,2017-02-09 10:15:00,20070.15,-229.9499999999971,-233.9870249999971,-73705.91287499908,Initial SL Hit,315,1,-1.1792946059999854,2017,2
2017-02-09 11:15:00,LONG,2017-02-09 12:15:00,20108.3,20000.35,20221.766666666666,2017-02-10 14:15:00,20196.75,88.45000000000073,84.41949500000072,26592.14092500023,TSL Hit,315,1,0.42547425480000367,2017,2
2017-02-13 12:15:00,LONG,2017-02-13 13:15:00,20194.2,20116.9,20235.38888888889,2017-02-14 11:15:00,20196.3,2.099999999998545,-1.9390500000014557,-610.8007500004585,TSL Hit,315,1,-0.009772812000007337,2017,2
2017-02-14 12:15:00,LONG,2017-02-14 13:15:00,20228.75,20158.85,20233.041666666668,2017-02-15 11:15:00,20158.85,-69.90000000000146,-73.93876000000145,-23290.709400000458,Initial SL hit,315,1,-0.37265135040000735,2017,2
2017-02-17 10:15:00,LONG,2017-02-17 11:15:00,20707.2,20640.4,20640.4,2017-02-17 12:15:00,20640.4,-66.79999999999927,-70.93475999999927,-21280.42799999978,Initial SL hit,300,1,-0.3404868479999965,2017,2
2017-02-20 09:15:00,LONG,2017-02-20 10:15:00,20560.8,20472.4,20859.316666666666,2017-02-23 14:15:00,20844.95,284.15000000000146,280.00942500000144,84002.82750000044,TSL Hit,300,1,1.344045240000007,2017,2
2017-02-27 10:15:00,LONG,2017-02-27 11:15:00,20730.35,20669.65,20669.65,2017-02-27 14:15:00,20669.65,-60.69999999999709,-64.83999999999709,-19451.999999999127,Initial SL Hit,300,1,-0.311231999999986,2017,2
2017-02-27 15:15:00,LONG,2017-02-28 09:15:00,20632.25,20584.75,20584.75,2017-02-28 11:15:00,20584.75,-47.5,-51.621700000000004,-15486.510000000002,Initial SL Hit,300,1,-0.24778416000000003,2017,2
2017-02-28 13:15:00,LONG,2017-02-28 14:15:00,20614.4,20560.6,20724.55277777778,2017-03-02 14:15:00,20560.6,-53.80000000000291,-57.91750000000291,-17375.250000000873,Initial SL hit,300,1,-0.27800400000001396,2017,2
2017-03-08 14:15:00,LONG,2017-03-08 15:15:00,20687.15,20628.2,20634.411111111112,2017-03-09 09:15:00,20628.2,-58.95000000000073,-63.08153500000073,-18924.46050000022,Initial SL hit,300,1,-0.3027913680000035,2017,3
2017-03-09 10:15:00,LONG,2017-03-09 11:15:00,20705.35,20662.45,20662.45,2017-03-09 12:15:00,20662.45,-42.89999999999782,-47.03677999999782,-14111.033999999345,Initial SL hit,300,1,-0.2257765439999895,2017,3
2017-03-09 13:15:00,LONG,2017-03-09 14:15:00,20697.8,20649.9,20684.36111111111,2017-03-10 13:15:00,20649.9,-47.89999999999782,-52.03476999999782,-15610.430999999346,Initial SL hit,300,1,-0.24976689599998952,2017,3
2017-03-14 10:15:00,LONG,2017-03-14 11:15:00,21180.85,21119.35,21119.35,2017-03-14 12:15:00,21119.35,-61.5,-65.73002,-19719.005999999998,Initial SL hit,300,1,-0.31550409599999996,2017,3
2017-03-14 15:15:00,LONG,2017-03-15 09:15:00,21116.2,21059.7,21192.53888888889,2017-03-17 09:15:00,21183.4,67.20000000000073,62.97004000000073,18891.012000000217,TSL Hit,300,1,0.3022561920000035,2017,3
2017-03-17 11:15:00,LONG,2017-03-17 12:15:00,21179.3,21127.95,21127.95,2017-03-20 09:15:00,21127.95,-51.349999999998545,-55.580724999998544,-16674.217499999562,Initial SL Hit,300,1,-0.26678747999999297,2017,3
2017-03-20 10:15:00,LONG,2017-03-20 11:15:00,21132.6,21086.35,21086.35,2017-03-21 09:15:00,21086.35,-46.25,-50.471895,-15141.568500000001,Initial SL Hit,300,1,-0.242265096,2017,3
2017-03-21 12:15:00,LONG,2017-03-21 13:15:00,21028.7,20980.55,20980.55,2017-03-21 13:15:00,20980.55,-48.150000000001455,-52.35092500000145,-15705.277500000437,Initial SL Hit,300,1,-0.251284440000007,2017,3
2017-03-21 14:15:00,LONG,2017-03-21 15:15:00,21027.65,20967.0,20967.0,2017-03-22 09:15:00,20816.05,-211.60000000000218,-215.78437000000218,-64735.311000000656,Gap Open Outside ISL,300,1,-1.0357649760000105,2017,3
2017-03-22 11:15:00,LONG,2017-03-22 12:15:00,20863.75,20827.0,20827.0,2017-03-22 14:15:00,20827.0,-36.75,-40.919075,-12275.7225,Initial SL Hit,300,1,-0.19641155999999999,2017,3
2017-03-28 10:15:00,LONG,2017-03-28 11:15:00,21228.65,21171.9,21466.50277777778,2017-03-31 14:15:00,21440.7,212.04999999999927,207.78306499999928,62334.919499999785,TSL Hit,300,1,0.9973587119999966,2017,3
2017-04-03 10:15:00,LONG,2017-04-03 11:15:00,21493.35,21429.25,21575.46388888889,2017-04-06 12:15:00,21564.1,70.75,66.444255,18936.612675,TSL Hit,285,1,0.30298580280000004,2017,4
2017-04-06 13:15:00,LONG,2017-04-06 14:15:00,21604.15,21560.95,21560.95,2017-04-06 14:15:00,21560.95,-43.20000000000073,-47.51651000000073,-13542.205350000208,Initial SL Hit,285,1,-0.21667528560000332,2017,4
2017-04-07 09:15:00,LONG,2017-04-07 10:15:00,21607.4,21514.6,21514.6,2017-04-07 14:15:00,21514.6,-92.80000000000291,-97.11220000000291,-27676.977000000832,Initial SL Hit,285,1,-0.4428316320000133,2017,4
2017-04-10 10:15:00,LONG,2017-04-10 11:15:00,21498.55,21431.65,21692.286111111112,2017-04-13 14:15:00,21678.1,179.54999999999927,175.23233499999927,49941.21547499979,TSL Hit,285,1,0.7990594475999967,2017,4
2017-04-13 15:15:00,LONG,2017-04-17 09:15:00,21711.6,21665.0,21665.0,2017-04-17 09:15:00,21665.0,-46.599999999998545,-50.937659999998544,-14517.233099999585,Initial SL Hit,285,1,-0.23227572959999337,2017,4
2017-04-17 14:15:00,LONG,2017-04-17 15:15:00,21649.75,21599.75,21728.05277777778,2017-04-18 14:15:00,21682.9,33.150000000001455,28.816735000001454,8212.769475000414,TSL Hit,285,1,0.13140431160000662,2017,4
2017-04-18 15:15:00,LONG,2017-04-19 09:15:00,21695.1,21651.5,21651.5,2017-04-19 09:15:00,21651.5,-43.599999999998545,-47.934659999998544,-13661.378099999585,Initial SL Hit,285,1,-0.21858204959999336,2017,4
2017-04-19 10:15:00,LONG,2017-04-19 11:15:00,21613.7,21560.95,21560.95,2017-04-19 11:15:00,21560.95,-52.75,-57.067465,-16264.227525,Initial SL Hit,285,1,-0.26022764039999996,2017,4
2017-04-19 14:15:00,LONG,2017-04-19 15:15:00,21582.7,21470.2,21470.2,2017-04-20 09:15:00,21437.55,-145.15000000000146,-149.45202500000147,-42593.82712500042,Gap Open Outside ISL,285,1,-0.6815012340000067,2017,4
2017-04-20 10:15:00,LONG,2017-04-20 11:15:00,21539.3,21443.6,21443.6,2017-04-21 12:15:00,21443.6,-95.70000000000073,-99.99829000000072,-28499.512650000204,Initial SL Hit,285,1,-0.4559922024000033,2017,4
2017-04-24 10:15:00,LONG,2017-04-24 11:15:00,21737.15,21683.55,22215.82777777778,2017-04-28 09:15:00,22206.05,468.8999999999978,464.5056799999978,132384.11879999939,TSL Hit,285,1,2.1181459007999903,2017,4
2017-04-28 11:15:00,LONG,2017-04-28 12:15:00,22246.75,22182.55,22308.397222222222,2017-05-03 10:15:00,22276.85,30.099999999998545,25.647639999998546,7309.577399999585,TSL Hit,285,1,0.11695323839999337,2017,4
2017-05-03 12:15:00,LONG,2017-05-03 13:15:00,22290.45,22240.05,22720.355555555554,2017-05-09 09:15:00,22694.3,403.84999999999854,399.35152499999856,113815.18462499959,TSL Hit,285,1,1.8210429539999935,2017,5
2017-05-09 10:15:00,LONG,2017-05-09 11:15:00,22720.75,22665.1,22824.483333333334,2017-05-11 15:15:00,22773.85,53.099999999998545,48.55053999999855,13108.645799999607,TSL Hit,270,1,0.2097383327999937,2017,5
2017-05-12 14:15:00,LONG,2017-05-12 15:15:00,22696.35,22578.0,22792.877777777776,2017-05-15 12:15:00,22782.6,86.25,81.702105,22059.56835,TSL Hit,270,1,0.3529530936,2017,5
2017-05-15 13:15:00,LONG,2017-05-15 14:15:00,22825.55,22764.85,22769.186111111114,2017-05-16 09:15:00,22764.85,-60.70000000000073,-65.25904000000072,-17619.940800000197,Initial SL hit,270,1,-0.2819190528000031,2017,5
2017-05-16 11:15:00,LONG,2017-05-16 12:15:00,22834.45,22794.45,22875.302777777775,2017-05-18 09:15:00,22761.65,-72.79999999999927,-77.35960999999928,-20887.094699999805,Gap Open Outside ISL,270,1,-0.3341935151999969,2017,5
2017-05-18 10:15:00,LONG,2017-05-18 11:15:00,22768.6,22706.35,22706.35,2017-05-18 14:15:00,22706.35,-62.25,-66.797495,-18035.32365,Initial SL Hit,270,1,-0.28856517839999996,2017,5
2017-05-23 12:15:00,LONG,2017-05-23 13:15:00,22695.1,22567.5,22567.5,2017-05-23 14:15:00,22567.5,-127.59999999999854,-132.12625999999855,-35674.090199999606,Initial SL Hit,270,1,-0.5707854431999937,2017,5
