Day,Strike,Expiry,DTE,Option Type,Entry Price,Exit Price,Exit Time,Max Price After Entry,Min Price After Entry,Points,Qty,Pnl,Slippage,Final PnL,ROI%,Trade Year
2017-01-02,8300,2017-01-05,3,CE,,,,,,,963.855421686747,,,,,2017
2017-01-02,8150,2017-01-05,3,PE,,,,,,,981.5950920245399,,,,,2017
2017-01-03,8300,2017-01-05,2,CE,,,,,,,963.855421686747,,,,,2017
2017-01-03,8100,2017-01-05,2,PE,,,,,,,987.6543209876543,,,,,2017
2017-01-04,8300,2017-01-05,1,CE,,,,,,,963.855421686747,,,,,2017
2017-01-04,8100,2017-01-05,1,PE,,,,,,,987.6543209876543,,,,,2017
2017-01-05,8300,2017-01-05,0,CE,,,,,,,963.855421686747,,,,,2017
2017-01-05,8150,2017-01-05,0,PE,,,,,,,981.5950920245399,,,,,2017
2017-01-06,8350,2017-01-12,6,CE,,,,,,,958.0838323353294,,,,,2017
2017-01-06,8200,2017-01-12,6,PE,,,,,,,975.609756097561,,,,,2017
2017-01-09,8350,2017-01-12,3,CE,,,,,,,958.0838323353294,,,,,2017
2017-01-09,8200,2017-01-12,3,PE,,,,,,,975.609756097561,,,,,2017
2017-01-10,8350,2017-01-12,2,CE,,,,,,,958.0838323353294,,,,,2017
2017-01-10,8200,2017-01-12,2,PE,,,,,,,975.609756097561,,,,,2017
2017-01-11,8400,2017-01-12,1,CE,,,,,,,952.3809523809524,,,,,2017
2017-01-11,8250,2017-01-12,1,PE,,,,,,,969.6969696969697,,,,,2017
2017-01-12,8450,2017-01-12,0,CE,,,,,,,946.7455621301775,,,,,2017
2017-01-12,8300,2017-01-12,0,PE,,,,,,,963.855421686747,,,,,2017
2017-01-13,8550,2017-01-19,6,CE,,,,,,,935.672514619883,,,,,2017
2017-01-13,8350,2017-01-19,6,PE,,,,,,,958.0838323353294,,,,,2017
2017-01-16,8450,2017-01-19,3,CE,,,,,,,946.7455621301775,,,,,2017
2017-01-16,8300,2017-01-19,3,PE,,,,,,,963.855421686747,,,,,2017
2017-01-17,8500,2017-01-19,2,CE,,,,,,,941.1764705882352,,,,,2017
2017-01-17,8350,2017-01-19,2,PE,,,,,,,958.0838323353294,,,,,2017
2017-01-18,8500,2017-01-19,1,CE,,,,,,,941.1764705882352,,,,,2017
2017-01-18,8300,2017-01-19,1,PE,,,,,,,963.855421686747,,,,,2017
2017-01-19,8500,2017-01-19,0,CE,,,,,,,941.1764705882352,,,,,2017
2017-01-19,8350,2017-01-19,0,PE,,,,,,,958.0838323353294,,,,,2017
