Day,Strike,Expiry,DTE,Option Type,Entry Price,Initial SL,Exit Price,Exit Time,Max Price After Entry,Min Price After Entry,Points,Qty,Pnl,Slippage,Final PnL,Margin,ROI%,Trade Year
2017-01-02,8300,2017-01-05,3,CE,,,,,,,,,,,,,,2017
2017-01-02,8150,2017-01-05,3,PE,,,,,,,,,,,,,,2017
2017-01-03,8300,2017-01-05,2,CE,,,,,,,,,,,,,,2017
2017-01-03,8100,2017-01-05,2,PE,,,,,,,,,,,,,,2017
2017-01-04,8300,2017-01-05,1,CE,,,,,,,,,,,,,,2017
2017-01-04,8100,2017-01-05,1,PE,,,,,,,,,,,,,,2017
2017-01-05,8300,2017-01-05,0,CE,,,,,,,,,,,,,,2017
2017-01-05,8150,2017-01-05,0,PE,,,,,,,,,,,,,,2017
2017-01-06,8350,2017-01-12,6,CE,,,,,,,,,,,,,,2017
2017-01-06,8200,2017-01-12,6,PE,,,,,,,,,,,,,,2017
2017-01-09,8350,2017-01-12,3,CE,,,,,,,,,,,,,,2017
2017-01-09,8200,2017-01-12,3,PE,,,,,,,,,,,,,,2017
2017-01-10,8350,2017-01-12,2,CE,,,,,,,,,,,,,,2017
2017-01-10,8200,2017-01-12,2,PE,,,,,,,,,,,,,,2017
2017-01-11,8400,2017-01-12,1,CE,,,,,,,,,,,,,,2017
2017-01-11,8250,2017-01-12,1,PE,,,,,,,,,,,,,,2017
2017-01-12,8450,2017-01-12,0,CE,,,,,,,,,,,,,,2017
2017-01-12,8300,2017-01-12,0,PE,,,,,,,,,,,,,,2017
2017-01-13,8550,2017-01-19,6,CE,,,,,,,,,,,,,,2017
2017-01-13,8350,2017-01-19,6,PE,,,,,,,,,,,,,,2017
2017-01-16,8450,2017-01-19,3,CE,,,,,,,,,,,,,,2017
2017-01-16,8300,2017-01-19,3,PE,,,,,,,,,,,,,,2017
2017-01-17,8500,2017-01-19,2,CE,,,,,,,,,,,,,,2017
2017-01-17,8350,2017-01-19,2,PE,,,,,,,,,,,,,,2017
2017-01-18,8500,2017-01-19,1,CE,,,,,,,,,,,,,,2017
2017-01-18,8300,2017-01-19,1,PE,,,,,,,,,,,,,,2017
2017-01-19,8500,2017-01-19,0,CE,,,,,,,,,,,,,,2017
2017-01-19,8350,2017-01-19,0,PE,,,,,,,,,,,,,,2017
2017-01-20,8500,2017-01-25,5,CE,13.65,17.0625,17.0625,2017-01-20 09:20:00,18.05,5.75,-3.4124999999999996,2352.9411764705883,-8029.411764705882,0.307125,-8752.05882352941,250.0,-0.8752058823529411,2017
2017-01-20,8300,2017-01-25,5,PE,14.9,18.625,18.625,2017-01-20 13:00:00,29.45,10.45,-3.7249999999999996,2409.6385542168678,-8975.903614457831,0.33525,-9783.734939759037,250.00000000000006,-0.9783734939759037,2017
2017-01-23,8400,2017-01-25,2,CE,20.6,25.75,25.75,2017-01-23 09:34:00,42.75,16.65,-5.149999999999999,2380.952380952381,-12261.90476190476,0.4635,-13365.476190476187,250.00000000000006,-1.3365476190476187,2017
2017-01-23,8250,2017-01-25,2,PE,13.85,17.3125,3.45,2017-01-23 15:30:00,13.1,3.3,10.399999999999999,2424.2424242424245,25212.121212121212,0.17300000000000001,24792.727272727272,250.00000000000006,2.479272727272727,2017
2017-01-24,8500,2017-01-25,1,CE,5.75,7.1875,7.1875,2017-01-24 10:16:00,16.7,4.9,-1.4375,2352.9411764705883,-3382.3529411764707,0.129375,-3686.764705882353,250.0,-0.3686764705882353,2017
2017-01-24,8300,2017-01-25,1,PE,3.2,4.0,1.2,2017-01-24 15:30:00,3.4,1.2,2.0,2409.6385542168678,4819.2771084337355,0.044000000000000004,4713.253012048193,250.00000000000006,0.47132530120481936,2017
2017-01-25,8600,2017-01-25,0,CE,0.45,0.5625,0.5625,2017-01-25 09:31:00,3.1,0.05,-0.11249999999999999,2325.581395348837,-261.6279069767441,0.010125,-285.17441860465107,249.99999999999994,-0.028517441860465106,2017
2017-01-25,8400,2017-01-25,0,PE,1.1,1.375,0.05,2017-01-25 15:28:00,1.3,0.05,1.05,2380.952380952381,2500.0000000000005,0.011500000000000002,2472.6190476190477,250.00000000000006,0.24726190476190477,2017
2017-01-27,8700,2017-02-02,6,CE,,,,,,,,,,,,,,2017
2017-01-27,8500,2017-02-02,6,PE,,,,,,,,,,,,,,2017
2017-01-30,8700,2017-02-02,3,CE,,,,,,,,,,,,,,2017
2017-01-30,8550,2017-02-02,3,PE,,,,,,,,,,,,,,2017
2017-01-31,8700,2017-02-02,2,CE,,,,,,,,,,,,,,2017
2017-01-31,8550,2017-02-02,2,PE,,,,,,,,,,,,,,2017
2017-02-01,8650,2017-02-02,1,CE,,,,,,,,,,,,,,2017
2017-02-01,8500,2017-02-02,1,PE,,,,,,,,,,,,,,2017
2017-02-02,8800,2017-02-02,0,CE,,,,,,,,,,,,,,2017
2017-02-02,8650,2017-02-02,0,PE,,,,,,,,,,,,,,2017
2017-02-03,8800,2017-02-09,6,CE,,,,,,,,,,,,,,2017
2017-02-03,8650,2017-02-09,6,PE,,,,,,,,,,,,,,2017
2017-02-06,8850,2017-02-09,3,CE,,,,,,,,,,,,,,2017
2017-02-06,8700,2017-02-09,3,PE,,,,,,,,,,,,,,2017
2017-02-07,8900,2017-02-09,2,CE,,,,,,,,,,,,,,2017
2017-02-07,8700,2017-02-09,2,PE,,,,,,,,,,,,,,2017
2017-02-08,8850,2017-02-09,1,CE,,,,,,,,,,,,,,2017
2017-02-08,8700,2017-02-09,1,PE,,,,,,,,,,,,,,2017
2017-02-09,8900,2017-02-09,0,CE,,,,,,,,,,,,,,2017
2017-02-09,8700,2017-02-09,0,PE,,,,,,,,,,,,,,2017
2017-02-10,8900,2017-02-16,6,CE,,,,,,,,,,,,,,2017
2017-02-10,8700,2017-02-16,6,PE,,,,,,,,,,,,,,2017
2017-02-13,8900,2017-02-16,3,CE,,,,,,,,,,,,,,2017
2017-02-13,8750,2017-02-16,3,PE,,,,,,,,,,,,,,2017
2017-02-14,8900,2017-02-16,2,CE,,,,,,,,,,,,,,2017
2017-02-14,8750,2017-02-16,2,PE,,,,,,,,,,,,,,2017
2017-02-15,8850,2017-02-16,1,CE,,,,,,,,,,,,,,2017
2017-02-15,8700,2017-02-16,1,PE,,,,,,,,,,,,,,2017
2017-02-16,8850,2017-02-16,0,CE,,,,,,,,,,,,,,2017
2017-02-16,8650,2017-02-16,0,PE,,,,,,,,,,,,,,2017
2017-02-17,8950,2017-02-23,6,CE,12.85,16.0625,16.0625,2017-02-17 12:30:00,17.05,7.95,-3.2125000000000004,2234.63687150838,-7178.7709497206715,0.289125,-7824.860335195532,250.0,-0.7824860335195531,2017
2017-02-17,8800,2017-02-23,6,PE,34.5,43.125,43.125,2017-02-17 09:36:00,53.95,26.25,-8.625,2272.727272727273,-19602.272727272728,0.77625,-21366.477272727272,250.00000000000006,-2.136647727272727,2017
2017-02-20,8900,2017-02-23,3,CE,14.65,18.3125,18.3125,2017-02-20 09:53:00,31.3,12.0,-3.6624999999999996,2247.191011235955,-8230.337078651684,0.329625,-8971.067415730337,250.0,-0.8971067415730336,2017
2017-02-20,8750,2017-02-23,3,PE,23.7,29.625,9.5,2017-02-20 15:30:00,22.85,9.05,14.2,2285.714285714286,32457.142857142855,0.332,31698.28571428571,250.0,3.169828571428571,2017
2017-02-21,9000,2017-02-23,2,CE,6.0,7.5,7.5,2017-02-21 09:33:00,9.9,3.55,-1.5,2222.222222222222,-3333.333333333333,0.135,-3633.3333333333335,250.0,-0.3633333333333334,2017
2017-02-21,8800,2017-02-23,2,PE,15.95,19.9375,7.25,2017-02-21 15:30:00,17.25,6.05,8.7,2272.727272727273,19772.727272727272,0.23199999999999998,19245.454545454548,250.00000000000006,1.9245454545454548,2017
2017-02-22,9000,2017-02-23,1,CE,6.3,7.875,7.875,2017-02-22 09:21:00,14.65,4.0,-1.5750000000000002,2222.222222222222,-3500.0000000000005,0.14175000000000001,-3815.0000000000005,250.0,-0.38150000000000006,2017
2017-02-22,8850,2017-02-23,1,PE,12.1,15.125,6.7,2017-02-22 15:29:00,11.8,5.35,5.3999999999999995,2259.8870056497176,12203.389830508473,0.188,11778.531073446327,250.0,1.1778531073446328,2017
2017-02-23,9050,2017-02-23,0,CE,0.6,0.75,0.75,2017-02-23 09:16:00,1.65,0.05,-0.15000000000000002,2209.9447513812156,-331.4917127071824,0.013500000000000002,-361.3259668508288,250.0,-0.03613259668508288,2017
2017-02-23,8850,2017-02-23,0,PE,2.45,3.0625,0.05,2017-02-23 15:24:00,2.95,0.05,2.4000000000000004,2259.8870056497176,5423.728813559323,0.025,5367.23163841808,250.0,0.536723163841808,2017
2017-02-27,9050,2017-03-02,3,CE,,,,,,,,,,,,,,2017
2017-02-27,8850,2017-03-02,3,PE,,,,,,,,,,,,,,2017
2017-02-28,9000,2017-03-02,2,CE,,,,,,,,,,,,,,2017
2017-02-28,8800,2017-03-02,2,PE,,,,,,,,,,,,,,2017
2017-03-01,9000,2017-03-02,1,CE,,,,,,,,,,,,,,2017
2017-03-01,8800,2017-03-02,1,PE,,,,,,,,,,,,,,2017
2017-03-02,9050,2017-03-02,0,CE,,,,,,,,,,,,,,2017
2017-03-02,8900,2017-03-02,0,PE,,,,,,,,,,,,,,2017
2017-03-03,8950,2017-03-09,6,CE,,,,,,,,,,,,,,2017
2017-03-03,8800,2017-03-09,6,PE,,,,,,,,,,,,,,2017
2017-03-06,9000,2017-03-09,3,CE,,,,,,,,,,,,,,2017
2017-03-06,8850,2017-03-09,3,PE,,,,,,,,,,,,,,2017
2017-03-07,9050,2017-03-09,2,CE,,,,,,,,,,,,,,2017
2017-03-07,8900,2017-03-09,2,PE,,,,,,,,,,,,,,2017
2017-03-08,9050,2017-03-09,1,CE,,,,,,,,,,,,,,2017
2017-03-08,8850,2017-03-09,1,PE,,,,,,,,,,,,,,2017
2017-03-09,9000,2017-03-09,0,CE,,,,,,,,,,,,,,2017
2017-03-09,8850,2017-03-09,0,PE,,,,,,,,,,,,,,2017
2017-03-10,9050,2017-03-16,6,CE,,,,,,,,,,,,,,2017
2017-03-10,8850,2017-03-16,6,PE,,,,,,,,,,,,,,2017
2017-03-14,9200,2017-03-16,2,CE,,,,,,,,,,,,,,2017
2017-03-14,9000,2017-03-16,2,PE,,,,,,,,,,,,,,2017
2017-03-15,9200,2017-03-16,1,CE,,,,,,,,,,,,,,2017
2017-03-15,9000,2017-03-16,1,PE,,,,,,,,,,,,,,2017
2017-03-16,9200,2017-03-16,0,CE,,,,,,,,,,,,,,2017
2017-03-16,9050,2017-03-16,0,PE,,,,,,,,,,,,,,2017
2017-03-17,9300,2017-03-23,6,CE,,,,,,,,,,,,,,2017
2017-03-17,9100,2017-03-23,6,PE,,,,,,,,,,,,,,2017
2017-03-20,9250,2017-03-23,3,CE,,,,,,,,,,,,,,2017
2017-03-20,9100,2017-03-23,3,PE,,,,,,,,,,,,,,2017
2017-03-21,9250,2017-03-23,2,CE,,,,,,,,,,,,,,2017
2017-03-21,9050,2017-03-23,2,PE,,,,,,,,,,,,,,2017
2017-03-22,9150,2017-03-23,1,CE,,,,,,,,,,,,,,2017
2017-03-22,8950,2017-03-23,1,PE,,,,,,,,,,,,,,2017
2017-03-23,9150,2017-03-23,0,CE,,,,,,,,,,,,,,2017
2017-03-23,8950,2017-03-23,0,PE,,,,,,,,,,,,,,2017
2017-03-24,9200,2017-03-30,6,CE,16.5,20.625,20.625,2017-03-24 09:34:00,24.4,14.9,-4.125,2173.913043478261,-8967.391304347826,0.37125,-9774.45652173913,250.0,-0.977445652173913,2017
2017-03-24,9000,2017-03-30,6,PE,16.9,21.125,14.65,2017-03-24 15:30:00,17.65,9.65,2.2499999999999982,2222.222222222222,4999.999999999996,0.3155,4298.888888888884,250.0,0.42988888888888843,2017
2017-03-27,9200,2017-03-30,3,CE,8.6,10.75,6.25,2017-03-27 15:30:00,9.9,4.05,2.3499999999999996,2173.913043478261,5108.695652173913,0.1485,4785.869565217391,250.0,0.4785869565217391,2017
2017-03-27,9000,2017-03-30,3,PE,16.05,20.0625,20.0625,2017-03-27 09:53:00,29.3,15.1,-4.012499999999999,2222.222222222222,-8916.666666666664,0.361125,-9719.166666666666,250.0,-0.9719166666666667,2017
