Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,After Costs,PnL,Remarks,Qty,Leverage,ROI%,Trade Year,Trade Month
2017-01-16 11:15:00,LONG,2017-01-16 12:15:00,27284.29,27245.95,27245.95,2017-01-17 10:15:00,27245.95,-38.340000000000146,-43.793024000000145,-84082.60608000027,Initial SL hit,1920,7,-1.1211014144000035,2017,1
2017-01-17 13:15:00,LONG,2017-01-17 14:15:00,27239.94,27197.43,27197.43,2017-01-17 14:15:00,27197.43,-42.5099999999984,-47.9537369999984,-92550.71240999691,Initial SL hit,1930,7,-1.2340094987999588,2017,1
2017-01-18 15:15:00,LONG,2017-01-19 09:15:00,27281.86,27223.92,27223.92,2017-01-19 09:15:00,27223.92,-57.94000000000233,-63.39057800000233,-121709.90976000448,Initial SL hit,1920,7,-1.6227987968000597,2017,1
2017-01-19 10:15:00,LONG,2017-01-19 11:15:00,27301.11,27244.71,27254.135869565216,2017-01-20 09:15:00,27238.21,-62.900000000001455,-68.35393200000145,-131239.5494400028,Gap Open Outside ISL,1920,7,-1.7498606592000372,2017,1
2017-01-20 10:15:00,LONG,2017-01-20 11:15:00,27229.13,27176.32,27176.32,2017-01-20 12:15:00,27176.32,-52.81000000000131,-58.25054500000131,-112423.55185000252,Initial SL Hit,1930,7,-1.498980691333367,2017,1
2017-01-20 15:15:00,LONG,2017-01-23 09:15:00,27039.24,27009.81,28325.895652173913,2017-02-13 11:15:00,28265.36,1226.119999999999,1220.589539999999,2367943.707599998,TSL Hit,1940,7,31.572582767999975,2017,1
2017-02-13 12:15:00,LONG,2017-02-13 13:15:00,28264.45,28197.38,28342.994782608697,2017-02-14 10:15:00,28340.18,75.72999999999956,70.06953699999956,130329.33881999918,TSL Hit,1860,7,1.7377245175999891,2017,2
2017-02-14 12:15:00,LONG,2017-02-14 13:15:00,28352.03,28284.07,28284.07,2017-02-15 09:15:00,28284.07,-67.95999999999913,-73.62360999999913,-136203.6784999984,Initial SL Hit,1850,7,-1.8160490466666452,2017,2
2017-02-15 12:15:00,LONG,2017-02-15 13:15:00,28175.41,28107.51,28107.51,2017-02-15 13:15:00,28107.51,-67.90000000000146,-73.52829200000146,-136762.6231200027,Initial SL Hit,1860,7,-1.8235016416000362,2017,2
2017-02-16 10:15:00,LONG,2017-02-16 11:15:00,28203.81,28160.76,28756.83195652174,2017-02-28 14:15:00,28727.99,524.1800000000003,518.4868200000003,964385.4852000006,TSL Hit,1860,7,12.858473136000006,2017,2
2017-03-01 12:15:00,LONG,2017-03-01 13:15:00,28950.23,28917.73,28917.73,2017-03-02 14:15:00,28917.73,-32.5,-38.286796,-69299.10076,Initial SL hit,1810,7,-0.9239880101333333,2017,3
2017-03-02 15:15:00,LONG,2017-03-03 09:15:00,28841.04,28784.31,28784.31,2017-03-03 09:15:00,28784.31,-56.72999999999956,-62.49253499999956,-113736.4136999992,Initial SL Hit,1820,7,-1.5164855159999893,2017,3
2017-03-03 12:15:00,LONG,2017-03-03 13:15:00,28761.13,28716.21,28920.570652173912,2017-03-08 10:15:00,28866.1,104.96999999999753,99.20727699999753,181549.31690999548,TSL Hit,1830,7,2.4206575587999395,2017,3
2017-03-08 11:15:00,LONG,2017-03-08 12:15:00,28867.52,28815.48,28815.48,2017-03-09 09:15:00,28815.48,-52.04000000000087,-57.80830000000087,-105211.10600000159,Initial SL Hit,1820,7,-1.4028147466666878,2017,3
2017-03-09 12:15:00,LONG,2017-03-09 13:15:00,28892.97,28855.87,28855.87,2017-03-09 13:15:00,28855.87,-37.10000000000218,-42.87488400000218,-78032.28888000398,Initial SL Hit,1820,7,-1.040430518400053,2017,3
2017-03-14 10:15:00,LONG,2017-03-14 11:15:00,29457.92,29413.1,29413.1,2017-03-14 11:15:00,29413.1,-44.81999999999971,-50.70710199999971,-90258.64155999948,Initial SL hit,1780,7,-1.2034485541333264,2017,3
